DSM EXPORTED FROM CAMBRIDGE ADVANCED MODELLER

"",
"ELEMENT NAME","HIERARCHY ID","1","2","3","4","5","6","7","8","9","10","11","12",
"Test","1"," "," ","1"," "," "," "," "," "," "," "," "," ",
"What","2","1"," "," "," "," "," "," "," "," "," "," "," ",
"Does","3"," "," "," "," "," "," "," "," "," "," "," "," ",
"This","4"," "," "," "," "," "," "," "," "," "," "," "," ",
"DSM Element","5"," "," "," "," "," "," "," ","1"," "," "," "," ",
"DSM Element","6"," "," "," "," "," "," "," "," "," "," "," "," ",
"DSM Element","7"," "," "," "," "," "," "," "," "," "," "," "," ",
"DSM Element","8"," "," "," "," "," "," "," "," "," "," "," "," ",
"DSM Element","9"," "," "," "," ","1"," ","1"," "," "," "," "," ",
"DSM Element","10"," "," "," "," "," "," "," "," "," "," "," "," ",
"DSM Element","11"," "," "," "," "," "," "," "," "," "," "," "," ",
"DSM Element","12"," "," "," "," "," "," "," "," "," "," "," "," ",
